id,label,department,level,salary,description,requirements
radiologisch-laborant-echo-gyn-fwg55,Radiologisch laborant met specialisatie (echo gyn),Radiologie,Laborant functieonderzoek A2,FWG 55,Gespecialiseerde laborant voor gynecologische echografie.,example
operatieassistent-fwg55,Operatieassistent,Operatie,Operatieassistent A,FWG 55,Senior operatieassistent.,example
anesthesiemedewerker-fwg55,Anesthesiemedewerker,Anesthesie,Anesthesiemedewerker A,FWG 55,Senior anesthesiemedewerker.,example
interventielaborant-specialisatie-fwg55,Interventielaborant met specialisatie,Radiologie,Laborant functieonderzoek A1,FWG 55,Gespecialiseerde interventielaborant.,example
teamleider-b-fwg55,Teamleider B,Management,generiek,FWG 55,Teamleider op middenniveau.,example
physician-assistant-fwg60,Physician assistant,Medisch,Physician assistant,FWG 60,Assisteert artsen bij diagnose en behandeling van patiënten.,example
verpleegkundig-specialist-fwg60,Verpleegkundig specialist,Verpleging,verpleegkundige specialist,FWG 60,Hooggespecialiseerde verpleegkundige met uitgebreide bevoegdheden.,example
teamleider-acute-as-fwg60,Teamleider acute as,Management,Teamleider zorg A,FWG 60,Leidt team in acute zorgomgeving.,example
deskundige-infectiepreventie-fwg60,Deskundige infectiepreventie,Infectiepreventie,Deskundige infectiepreventie,FWG 60,Expert in infectiepreventie en -controle.,example
sedatiepraktijk-specialist-fwg60,Sedatiepraktijk-specialist,Anesthesie,Sedatie praktijk specialist,FWG 60,Gespecialiseerd in sedatieprocedures.,example
teamleider-a-fwg60,Teamleider A,Management,generiek,FWG 60,Senior teamleider.,example
organisatorisch-hoofd-klinieken-fwg65,Organisatorisch hoofd klinieken,Management,Organisatorisch hoofd B1,FWG 65,Hoofd van klinische afdelingen.,example
organisatorisch-hoofd-acute-as-fwg70,Organisatorisch hoofd acute as,Management,Organisatorisch hoofd A,FWG 70,Hoofd van acute zorgafdelingen.,example
